tmdbId,type,Name,Budget,Revenue,Original_Lang,Runtime,Adult,Actor_1,Actor_2,Director
705,movie,All About Eve,1400000,8400000,en,139,FALSE,Bette Davis,Anne Baxter,Joseph L. Mankiewicz
22490,movie,The Women,1688000,2270000,en,133,FALSE,Norma Shearer,Joan Crawford,George Cukor
223,movie,Rebecca,1288000,7592465,en,130,FALSE,Laurence Olivier,Joan Fontaine,Alfred Hitchcock
25670,movie,Foreign Correspondent,0,0,en,120,FALSE,Joel McCrea,Laraine Day,Alfred Hitchcock
303,movie,Notorious,2000000,24500000,en,103,FALSE,Cary Grant,Ingrid Bergman,Alfred Hitchcock
4174,movie,Spellbound,1500000,7000000,en,111,FALSE,Ingrid Bergman,Gregory Peck,Alfred Hitchcock
8356,movie,An Affair to Remember,2100000,3800000,en,111,FALSE,Cary Grant,Deborah Kerr,Leo McCarey
381,movie,To Catch a Thief,2500000,8750000,en,106,FALSE,Cary Grant,Grace Kelly,Alfred Hitchcock
20758,movie,Father of the Bride,0,0,en,92,FALSE,Spencer Tracy,Joan Bennett,Vincente Minnelli
29376,movie,The Band Wagon,2900000,3500000,en,112,FALSE,Fred Astaire,Cyd Charisse,Vincente Minnelli
1859,movie,Ninotchka,1365000,2279000,en,110,FALSE,Greta Garbo,Melvyn Douglas,Ernst Lubitsch
18299,movie,Love in the Afternoon,2100000,2000000,en,130,FALSE,Gary Cooper,Audrey Hepburn,Billy Wilder
17281,movie,Gigi,3319355,13200000,en,116,FALSE,Leslie Caron,Maurice Chevalier,Vincente Minnelli
10907,movie,The Adventures of Robin Hood,2033000,3981000,en,102,FALSE,Errol Flynn,Olivia de Havilland,No Director
32093,movie,The Mark of Zorro,0,0,en,94,FALSE,Tyrone Power,Linda Darnell,Rouben Mamoulian
1939,movie,Laura,1020000,2000000,en,88,FALSE,Gene Tierney,Dana Andrews,Otto Preminger
22292,movie,The Ghost and Mrs. Muir,0,0,en,105,FALSE,Gene Tierney,Rex Harrison,Joseph L. Mankiewicz
3598,movie,Lost Horizon,4000000,0,en,132,FALSE,Ronald Colman,Jane Wyatt,Frank Capra
3080,movie,Top Hat,609000,3202000,en,101,FALSE,Fred Astaire,Ginger Rogers,Mark Sandrich
198,movie,To Be or Not to Be,1200000,1500000,en,99,FALSE,Carole Lombard,Jack Benny,Ernst Lubitsch
13562,movie,My Man Godfrey,575375,684200,en,95,FALSE,William Powell,Carole Lombard,Gregory La Cava
1712,movie,Giant,5400000,32855818,en,201,FALSE,Elizabeth Taylor,Rock Hudson,George Stevens
220,movie,East of Eden,0,0,en,115,FALSE,James Dean,Julie Harris,Elia Kazan
3529,movie,The Thin Man,226408,1423000,en,91,FALSE,William Powell,Myrna Loy,W.S. Van Dyke
3085,movie,His Girl Friday,0,0,en,92,FALSE,Cary Grant,Rosalind Russell,Howard Hawks
2897,movie,Around the World in Eighty Days,6000000,42000000,en,182,FALSE,David Niven,Cantinflas,Michael Anderson
1585,movie,It's a Wonderful Life,3180000,9644124,en,130,FALSE,James Stewart,Donna Reed,Frank Capra
3083,movie,Mr. Smith Goes to Washington,1500000,9600000,en,129,FALSE,James Stewart,Jean Arthur,Frank Capra
900,movie,Bringing Up Baby,1073000,0,en,102,FALSE,Katharine Hepburn,Cary Grant,Howard Hawks
43795,movie,Penny Serenade,0,0,en,120,FALSE,Irene Dunne,Cary Grant,George Stevens
43905,movie,Of Human Bondage,0,0,en,83,FALSE,Leslie Howard,Bette Davis,John Cromwell
23114,movie,Little Lord Fauntleroy,0,0,en,102,FALSE,Freddie Bartholomew,Dolores Costello,John Cromwell
